正题名,创建日期,导演,演员,出品年代,内容描述,总集数,分类名称,连续剧分类,字母语种,声轨,声道语种,地区参数,画面高宽比,编码格式,编码码率,彩色.黑白,来源,批次,标清.高清,内容编号,素材分类,标识,素材分类.1,编目层ID,入点,时长,编目层,首播日期,素材大小,海报
捷德奥特曼(17),2017/10/30 16:17,坂本浩一,滨田龙臣，山本千寻，长谷川真优，小泽雄太,2017,主人公朝仓陆有一天入手了捷德升华器与奥特胶囊，得到了变身成捷德奥特曼的力量。,25,电视剧场\日韩剧场,捷德奥特曼,中文,MP2,日语,日本,16:09,H264,7.5M,彩色,10013,无,高清,29822,无,51871,1,51859,00:00.0,24:58.2,节目层,无,1374.76,24028
超级小郎中(06),2017/10/30 14:48,杨小波,朱元冰，邢菲，杨霖，商侃,2017,民国初期，天灾人祸兵乱持续不绝，民众苦不堪言，更有居心叵测之徒借机作乱为恶。体内暗藏龙灵之力的小郎中杨逸因瘟疫事件卷入了上海各方势力波云诡谲的争斗之中，并因此结识了上海市市长莫森之女莫小渝，并与之相爱。幕后黑手，同时也是杨逸师叔身份的多同，由于其疯狂地追求“长生”的妄想，不惜人为地散播瘟疫，以人为药材炼制禁药赚取暴利，而后更不惜暗杀政要，挑拔激化各方军阀矛盾诱发战乱……,20,电视剧场\大陆剧场,超级小郎中,中文,MP2,国语,大陆,16:09,H264,7.5M,彩色,10033,无,高清,41531,无,51862,1,51871,00:00.0,33:54.0,节目层,无,1941.74,24031
10月29日天籁之战 第二季：华晨宇颠覆《天堂》,2017/10/30 14:43,无,无,2017,10月29日天籁之战 第二季：华晨宇颠覆《天堂》,1,综艺娱乐,天籁之战 第二季,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,31828,无,51860,1,51864,00:00.0,37:09.0,节目层,无,3876.21,35783
外来媳妇本地郎：我家来了个“义工”,2017/10/30 13:59,无,无,2017,外来媳妇本地郎：我家来了个“义工”,1,电视剧场\大陆剧场,外来媳妇本地郎,中文,MP2,粤语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,50307,无,51849,1,51848,00:00.0,22:44.2,节目层,无,907.83,35822
外来媳妇本地郎：我不要你变老,2017/10/30 13:57,无,无,2017,外来媳妇本地郎：我不要你变老,1,电视剧场\大陆剧场,外来媳妇本地郎,中文,MP2,粤语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,27609,无,51847,1,51849,00:00.0,22:57.0,节目层,无,915.92,35814
(待删)外来媳妇本地郎：从将军到奴隶(下),2017/10/30 13:56,无,无,2017,外来媳妇本地郎：从将军到奴隶(下),1,电视剧场\大陆剧场,外来媳妇本地郎,中文,MP2,粤语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,20294,无,51846,1,51847,00:00.0,22:56.2,节目层,无,915.77,35798
10月29日健康之路：骨正才能保健康(四),2017/10/30 10:21,无,无,2017,10月29日健康之路：骨正才能保健康(四),1,生活服务,无,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10042,无,标清,47940,无,51837,1,51814,00:00.0,37:49.1,节目层,无,1509.11,35840
凡人的品格(03),2017/10/30 10:20,徐宗政,林永健，蒋欣，童蕾，白志迪，梁振伦，张宇菲，阿楠，张戈，李欢，杜宁林，解至腾,2017,曾经做过战地记者的金牌制片人展大鹏与妻子也是工作搭档的方昕然因理念不合分道扬镳后，接连失去家庭和事业，跌入人生低谷。职场新人畅歌欣赏并追随展大鹏，两人搭档在简陋的条件下重整旗鼓制作新节目，却接连遭遇困难步履维艰。曾在战场经历生死事件的展大鹏因为脑中残留的一块弹片面临生命危险，他决定放弃手术，用仅剩的时光帮助归国的儿子完成创业梦想。老爷子展放的祖传手艺“珍味鸡”成为联结展家三代男人重拾亲情的重要纽带。帮助儿子的同时，展大鹏也找到了自己纪录片的新题材，立足美食，传播亲情，节目引起观众的共鸣和强烈反响。展大鹏在家人和畅歌的力劝下，终于平静地接受手术，并幸运地活下来。经历了这一切，展大鹏重新获得前进的动力和方向，不仅成为人生的下半场赢家，还收获了与畅歌美好的感情。,40,电视剧场\大陆剧场,凡人的品格,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,13296,无,51836,1,51825,00:00.0,39:20.0,节目层,无,1569.48,35793
国民大生活(38),2017/10/30 9:41,夏晓昀,郑恺，袁姗姗,2016,王舒望和陆露在泰国相遇相识，经历了一系列惊心动魄的事情之后，相爱了。回国后，两人准备结婚，却遭到了双方家庭的反对。王舒望放弃了北京的事业，来到上海，开了一家陶瓷店，向陆露的家人证明自己可以给陆露更好的生活。陆露的父母依旧认为王舒望和陆露不合适，不同意他们的婚事。王舒望的异父异母姐姐赵燕也多次来到上海，还和陆露的妈妈蒋妙音发生了争吵。这让两人的婚事再度拖延。陆露和王舒望的爱情不断经受着来自双方家庭的打击和考验……,40,电视剧场\大陆剧场,(热)国民大生活,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10022,无,高清,20813,无,51816,1,51822,00:00.0,39:47.2,节目层,无,2277.34,35819
10月29日不凡的改变：蔡依林玩转广场舞神曲,2017/10/30 9:36,无,无,2017,10月29日不凡的改变：蔡依林玩转广场舞神曲,1,综艺娱乐,不凡的改变,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,22585,无,51814,1,51821,00:00.0,15:09.1,节目层,无,2998.78,35825
10月29日 漂亮的房子：李冰冰做客,2017/10/30 9:18,无,无,2017,10月29日 漂亮的房子：李冰冰做客,1,综艺娱乐,漂亮的房子(热),中文,MP2,国语,大陆,16:09,H264,5M,彩色,10022,无,高清,33412,无,51803,1,51803,00:00.0,07:47.1,节目层,无,3879.15,35813
10月29日 爆兽猎人(南方少儿),2017/10/30 9:03,无,无,2017,10月29日 爆兽猎人,1,电视剧场,爆兽猎人,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,少儿,标清,17198,无,51796,1,51791,00:00.0,32:09.1,节目层,无,1283.07,35845
10月29日 非你莫属：自信女生爱上“代码”能力不足引争议,2017/10/30 8:55,无,无,2017,10月29日 非你莫属：自信女生爱上“代码”能力不足引争议,1,综艺娱乐,非你莫属(热),中文,MP2,国语,大陆,16:09,H264,5M,彩色,10022,无,高清,47755,无,51791,1,51806,00:00.0,25:40.2,节目层,无,4902.83,35788
外来媳妇本地郎：师奶争头位(上),2017/10/29 15:32,无,无,2017,外来媳妇本地郎：师奶争头位(上),1,电视剧场\大陆剧场,外来媳妇本地郎,中文,MP2,粤语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,12317,无,51786,1,51784,00:00.0,22:44.2,节目层,无,907.72,35673
2017/2018赛季NBA常规赛-奇才-勇士,2017/10/29 12:34,无,无,2017,2017/2018赛季NBA常规赛-奇才-勇士,1,体育竞技,无,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10042,无,标清,19401,无,51783,1,51763,00:00.0,50:15.1,节目层,无,4399,35656
10月28日 青春旅社：王源公益行贴心照顾老人,2017/10/29 10:49,无,无,2017,10月28日 青春旅社：王源公益行贴心照顾老人,1,综艺娱乐,青春旅社,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,10314,无,51763,1,51766,00:00.0,19:13.1,节目层,无,3160.94,35646
(待删)凡人的品格(02),2017/10/29 10:38,徐宗政,林永健，蒋欣，童蕾，白志迪，梁振伦，张宇菲，阿楠，张戈，李欢，杜宁林，解至腾,2017,曾经做过战地记者的金牌制片人展大鹏与妻子也是工作搭档的方昕然因理念不合分道扬镳后，接连失去家庭和事业，跌入人生低谷。职场新人畅歌欣赏并追随展大鹏，两人搭档在简陋的条件下重整旗鼓制作新节目，却接连遭遇困难步履维艰。曾在战场经历生死事件的展大鹏因为脑中残留的一块弹片面临生命危险，他决定放弃手术，用仅剩的时光帮助归国的儿子完成创业梦想。老爷子展放的祖传手艺“珍味鸡”成为联结展家三代男人重拾亲情的重要纽带。帮助儿子的同时，展大鹏也找到了自己纪录片的新题材，立足美食，传播亲情，节目引起观众的共鸣和强烈反响。展大鹏在家人和畅歌的力劝下，终于平静地接受手术，并幸运地活下来。经历了这一切，展大鹏重新获得前进的动力和方向，不仅成为人生的下半场赢家，还收获了与畅歌美好的感情。,40,电视剧场\大陆剧场,凡人的品格,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,18993,无,51760,1,51748,00:00.0,41:53.2,节目层,无,1671.77,35672
